EM505,"Managing Engineering and Technology  by Daniel L. Babcock & Lucy Morse,  Prentice Hall, 2010, fifth edition,  ISBN-10: 0136098096",1
EM505,"Taking Sides: Clashing Views in Business Ethics and Society (Paperback) By: Lisa Newton,  Elaine Englehardt , Michael Pritchard  McGraw-Hill/Dushkin; 11 editionISBN-10: 0073527319",1
EM505,"American Psychological Association. (2009). The publication manual of the American Psychological Association (6th ed.).  Washington, DC: author. (ISBN-10: 1433805618,  ISBN-13: 978-1433805615)  ",0
EM509,"Gray, C., & Larson, E. (2010). Project management: The managerial process w/ Student CD and MS Project CD (5th ed.). New York: McGraw-Hill Higher Education. (ISBN-978-007-742692-7; ISBN: 978-007340334-2)",1
EM509,"Chatfield, C., & Johnson, T. (2007). Microsoft office project 2007 step by step. Microsoft Press. (ISBN-10: 0735623058; ISBN-13: 978-0735623057)",0
EM519,"Project Management Institute. (2008). A guide to the project management body of knowledge (4th ed.). Newtown Square, PA: Project Management Institute. (ISBN: 9781933890517)",1
EM519,"Johnson, T. (2009) CAPM Exam Success Series: Certification Exam Manual.(AKA CAPM exam success series: Bootcamp manual). Carrollton, TX: Crosswind Project Management Inc.",1
EM519,"Gray, C., & Larson, E. (2008). Project management: The managerial process w/ Student CD and MS Project CD (4th ed.). New York: McGraw-Hill Higher Education. (ISBN 0073525154) ",0
EM519,"Gray, C., & Larson, E. (2010). Project management: The managerial process w/ Student CD and MS Project CD (5th ed.). New York: McGraw-Hill Higher Education. (ISBN-978-007-742692-7; ISBN: 978-007340334-2)",0
EM520,"Applied economic analysis for technologists, engineers, and managers, By: Michael S. Bowman, Upper Saddle River, NJ: Prentice Hall., 2nd. ed., 2003 ISBN: 0-13-094511-0",1
EM520,"Taking Sides: Clashing Views in Business Ethics and Society (Paperback), By: Lisa Newton,  Elaine Englehardt , Michael Pritchard, McGraw-Hill/Dushkin; 11 edition, ISBN-10: 0073527319 ",0
EM540,"Human Resource Management, By David Lepak and Mary Gowan, Prentice Hall; 1 edition, ISBN-10: 0131525328",1
EM540,"Taking Sides: Clashing Views in Business Ethics and Society (Paperback), By: Lisa Newton,  Elaine Englehardt , Michael Pritchard, McGraw-Hill/Dushkin; 11 edition, ISBN-10: 0073527319 ",0
EM547,"Practical Research, 9th ed By: Leedy, P.D., & Ormrod, J.E. year 2010 Upper Saddle River, NJ: Pearson Prentice Hall ISBN-10: 0137152426",1
EM556,No book to purchase All books available online,1
EM558,"Lean Production Simplified by Pascal Dennis Second Edition, Productivity Press, ISBN 978-1-56327-356-8",1
